"(PDH-CSV 4.0) (Arabian Standard Time)(-240)",\\TARDIS\Memory\Available MBytes ,"\\TARDIS\PhysicalDisk(0 C:)\Avg. Disk sec/Read","\\TARDIS\PhysicalDisk(_Total)\Avg. Disk sec/Read","\\TARDIS\PhysicalDisk(0 C:)\Avg. Disk sec/Write","\\TARDIS\PhysicalDisk(_Total)\Avg. Disk sec/Write","\\TARDIS\Network Interface(Killer Wireless-n_a_ac 1535 Wireless Network Adapter)\Bytes Total/sec"
"08/02/2018 00:35:57.062","8866"," "," "," "," "," "
"08/02/2018 00:35:59.040","8863","0.0062476569804841972","0.0062476569804841972","0.00061552205500952381","0.00061552205500952381","1647.7688085521306"
"08/02/2018 00:36:01.038","8855","0","0","0.012126812603658102","0.012126812603658102","1475.7323328595539"
"08/02/2018 00:36:03.045","8865","0","0","0.0050809009864698235","0.0050809009864698235","1610.8750411654082"
"08/02/2018 00:36:05.051","8863","0.00023992632048680721","0.00023992632048680721","0.014292893120384158","0.014292893120384158","2303.4798014509356"
"08/02/2018 00:36:07.042","8864","0","0","0.018084828611313303","0.018084828611313303","1708.9405445389752"
"08/02/2018 00:36:09.047","8859","0","0","0.0049810374695209037","0.0049810374695209037","1628.9538551501705"
"08/02/2018 00:36:11.046","8837","0","0","0.0011569188140597539","0.0011569188140597539","1634.9098108413223"
"08/02/2018 00:36:13.050","8779","0.0081709690704405875","0.0081709690704405875","0.0029345972600362735","0.0029345972600362735","22243.147872593909"
"08/02/2018 00:36:15.044","8761","0.00027459824052909575","0.00027459824052909575","0.0033537005022001676","0.0033537005022001676","11294.616913527341"
"08/02/2018 00:36:17.050","8707","0","0","0.0018254549800162281","0.0018254549800162281","14908.945544660664"
"08/02/2018 00:36:19.042","8533","0.023788668027137454","0.023788668027137454","0.0079552046273511038","0.0079552046273511038","12068.170076660546"
"08/02/2018 00:36:21.039","8523","0.0049628617731534092","0.0049628617731534092","0.0031906881171774753","0.0031906881171774753","5516.6429300934287"
"08/02/2018 00:36:23.038","8526","0","0","0.0020142726485982308","0.0020142726485982308","20971.650251970015"
"08/02/2018 00:36:25.152","8450","0.0096999184592741258","0.0096999184592741258","0.0046735560183215853","0.0046735560183215853","7935.2471247219864"
"08/02/2018 00:36:27.038","8475","0.016031358900265042","0.016031358900265042","0.0037362103927038653","0.0037362103927038653","11898.211811703844"
"08/02/2018 00:36:29.053","8441","0","0","0.0090012291279810142","0.0090012291279810142","12260.503559015626"
"08/02/2018 00:36:31.040","8443","0","0","0.0064842381339280898","0.0064842381339280898","12663.622870869911"
"08/02/2018 00:36:33.038","8440","0","0","0.010625780905207407","0.010625780905207407","11842.675149501381"
"08/02/2018 00:36:35.043","8439","0","0","0.012057472770961416","0.012057472770961416","14786.469725475614"
"08/02/2018 00:36:37.049","8439","0","0","0.012017410914204277","0.012017410914204277","10105.937467992346"
"08/02/2018 00:36:39.040","8436","0","0","0.012042897455932594","0.012042897455932594","10732.465949286323"
"08/02/2018 00:36:41.042","8436","0","0","0.0076026880724443403","0.0076026880724443403","14637.832002018607"
"08/02/2018 00:36:43.048","8429","0.0020071282774642282","0.0020071282774642282","0.0085978544626894044","0.0085978544626894044","17898.840619986942"
"08/02/2018 00:36:45.046","8435","0","0","0.00057907663802555316","0.00057907663802555316","10763.54090280625"
"08/02/2018 00:36:47.039","8440","0.0002921025108417074","0.0002921025108417074","0.0034420810437990877","0.0034420810437990877","11044.074727495765"
"08/02/2018 00:36:49.048","8476","0.023801796229871913","0.023801796229871913","0.0080410849535723552","0.0080410849535723552","1786.3719978624044"
"08/02/2018 00:36:51.043","8477","0","0","0.013800866836471982","0.013800866836471982","1414.2744924392189"
"08/02/2018 00:36:53.049","8477","0","0","0.017458217410955882","0.017458217410955882","1461.8844004963075"
"08/02/2018 00:36:55.047","8501","0","0","0.011930618907237579","0.011930618907237579","1878.2469416966885"
"08/02/2018 00:36:57.043","8579","0.024744109448367507","0.024744109448367507","0.0030675902202580902","0.0030675902202580902","9807.5522458100077"
"08/02/2018 00:36:59.049","8826","0","0","0.0079874173470236183","0.0079874173470236183","2489.1100412839719"
"08/02/2018 00:37:01.040","8821","0","0","0.0094966014972958333","0.0094966014972958333","1997.2137199067606"
"08/02/2018 00:37:03.046","8757","0","0","0.01433825835427768","0.01433825835427768","1606.0139088156241"
"08/02/2018 00:37:05.045","8768","0","0","0.011865160229714374","0.011865160229714374","1683.8940852297853"
"08/02/2018 00:37:07.053","8772","0","0","0.011912385292328609","0.011912385292328609","1650.8299793964404"
"08/02/2018 00:37:09.042","8847","0","0","0.0095949657718580918","0.0095949657718580918","1778.2577194572259"
"08/02/2018 00:37:11.051","8846","0","0","0.012271066545609357","0.012271066545609357","1818.5845699242327"
"08/02/2018 00:37:13.041","8848","0","0","0.018965803949255119","0.018965803949255119","4547.1214400114604"
"08/02/2018 00:37:15.039","8848","0","0","0.0009416163694505596","0.0009416163694505596","1573.7932092483434"
